name,num_classes,classes_used,ratio,learning_rate,mean_0,variance_0,mean_10,variance_10,mean_20,variance_20,mean_30,variance_30,mean_40,variance_40,mean_50,variance_50
undersampled,3,"(0, 3, 1)","(20, 2, 1)",1e-07,0.5178818,0.00374488364291,0.559272475,0.0023375524324056,0.56910995,0.0019120550847225,0.5821348499999999,0.0016003970921024,0.5939782250000001,0.0013652776751931,0.602373575,0.0011203887310381
undersampled,3,"(0, 3, 1)","(20, 2, 1)",1e-08,0.4946646749999999,0.0010986473343131,0.5074842499999999,0.0021311669077625,0.5141313000000001,0.0024639209546224,0.51684135,0.0030030919727024,0.52559245,0.0020544964868725,0.531174125,0.0018743482016656
both_sampled,3,"(0, 3, 1)","(20, 2, 1)",1e-05,0.4823212,0.0019812056753975,0.6384961999999998,0.0033463938800224,0.66476315,0.0061441379412274,0.6882240749999999,0.0043760037771631,0.7235926250000001,0.0029377883458156,0.689424725,0.0027003418640556
both_sampled,3,"(0, 3, 1)","(20, 2, 1)",1e-06,0.510285875,0.0004139219638406,0.6985472500000001,0.0003752695864125,0.7116391500000001,0.0002357649708274,0.712339225,0.0003510929819181,0.7082804,0.000682197137965,0.7172505750000001,0.0002638204450131
both_sampled,3,"(0, 3, 1)","(20, 2, 1)",5e-07,0.49112315,0.0022082898973024,0.684411825,0.0002098295575131,0.6993183250000001,0.0001519091969131,0.7051358000000001,8.883062487249948e-05,0.7052247,0.00014976193171,0.71337405,0.0001040921045974
both_sampled,3,"(0, 3, 1)","(20, 2, 1)",1e-07,0.4860929749999999,0.0021110524031431,0.5839492250000001,0.0008220788968681,0.631848675,0.0002831667306131,0.6525836500000001,0.00021475479544,0.6668407000000001,0.0001507908557225,0.674423825,0.0001038250246256
both_sampled,3,"(0, 3, 1)","(20, 2, 1)",1e-08,0.494320175,0.0019371356732506,0.492904375,0.0043909081394531,0.5050330999999998,0.0040167943876025,0.51636735,0.003436541643565,0.52769555,0.0030202228650974,0.5381957749999999,0.0023886236877931
weighted,3,"(0, 3, 1)","(20, 2, 1)",1e-05,0.51806365,0.0006251531124025,0.693043,0.004202900185925,0.7015190500000001,0.0081465789551475,0.7237879,0.0033515049351524,0.6854009000000001,0.0109892393874149,0.675521525,0.0105390717242431
weighted,3,"(0, 3, 1)","(20, 2, 1)",1e-06,0.49608125,0.0014364548256499,0.6867923499999999,0.0006971330024525,0.71302965,0.0002396436118274,0.7131215500000001,0.0004947949744849,0.716642925,0.0003704146838756,0.716330925,0.0003074312201381
weighted,3,"(0, 3, 1)","(20, 2, 1)",5e-07,0.482134375,0.0030201209703656,0.6711395750000001,0.0006967032166756,0.69954395,7.971752870999974e-05,0.6987068999999999,0.0001812953508525,0.71277065,4.16677573649998e-05,0.7080358250000001,0.0003510985999381
weighted,3,"(0, 3, 1)","(20, 2, 1)",1e-07,0.4995691500000001,0.0048097983299274,0.6060447,0.0021391889940349,0.64428515,0.0005002253247274,0.666796725,0.0003480797126556,0.6740622000000001,0.0003333025794474,0.6781327,0.0001319280518349
weighted,3,"(0, 3, 1)","(20, 2, 1)",1e-08,0.504891375,0.0023539650362531,0.5336494,0.0051371152143024,0.5445049249999998,0.0042289624597506,0.5530468249999999,0.0037927292376381,0.56350615,0.0031129087553525,0.569281825,0.0025872157828631
ratio,2,"(0, 1)","(10, 1)",1e-05,0.5483786499999999,0.0094237419281024,0.8266804999999998,0.0118802109088,0.8041347,0.0115656866359099,0.8146580499999999,0.0085114735273224,0.7939216,0.01998303287899,0.8373489,0.0025416389521899
ratio,2,"(0, 1)","(10, 1)",1e-06,0.53490505,0.0086060348989724,0.7311696000000001,7.881618828999965e-05,0.7631885,8.456726540000006e-05,0.7772351500000001,8.934477120250037e-05,0.7817387000000002,0.00011782319826,0.7873993499999999,0.0001114861822524
ratio,2,"(0, 1)","(10, 1)",5e-07,0.5275359,0.00833120921169,0.6799924500000001,0.0009306843808225,0.7270427999999999,0.00033328367921,0.7500053,0.0002013170067599,0.7636376,0.0001967268574899,0.7726424,0.00010599488609
ratio,2,"(0, 1)","(10, 1)",1e-07,0.5117162999999999,0.0057660317906599,0.62734585,0.0013089951766524,0.6561937500000001,0.0010354100094624,0.6778421,0.00073573872204,0.69438655,0.0004738700866224,0.7075593,0.0003400596723099
ratio,2,"(0, 1)","(10, 1)",1e-08,0.5146188,0.00386855436301,0.6051351,0.0057452231246899,0.6017273499999999,0.0069926887010524,0.5944787,0.00832507364726,0.5941295,0.0085879009837499,0.59600665,0.0084700843502524
oversampled,2,"(0, 1)","(10, 1)",1e-05,0.51091595,0.0075115505581724,0.7688263,0.01258132575786,0.8028584500000001,0.0050012341564725,0.83113715,0.0020944120912025,0.8072063499999999,0.0047375497282024,0.8298805,0.0023764419493
oversampled,2,"(0, 1)","(10, 1)",1e-06,0.5027152,0.00668085929286,0.7791980000000001,0.0001940649879999,0.798506,0.0002378449917999,0.8027914,0.0001370033815399,0.7934121,0.00046022614519,0.79718205,0.0002949650685725
